"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","category"
"3128",9404,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HOMINIDAE","Gorilla","Gorilla gorilla","CR"
"3129",9406,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HOMINIDAE","Gorilla","Gorilla gorilla ssp. gorilla","CR"
"3598",10543,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HYLOBATIDAE","Hylobates","Hylobates agilis","EN"
"3599",10547,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HYLOBATIDAE","Hylobates","Hylobates klossii","EN"
"3600",10548,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HYLOBATIDAE","Hylobates","Hylobates lar","EN"
"3601",10550,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HYLOBATIDAE","Hylobates","Hylobates moloch","EN"
"3602",10552,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HYLOBATIDAE","Hylobates","Hylobates pileatus","EN"
"3698",10826,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","INDRIIDAE","Indri","Indri indri","CR"
"3876",11175,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Lagothrix","Lagothrix lagothricha","VU"
"4027",11503,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE","Leontopithecus","Leontopithecus caissara","CR"
"4028",11505,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE","Leontopithecus","Leontopithecus chrysopygus","EN"
"4029",11506,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE","Leontopithecus","Leontopithecus rosalia","EN"
"4065",11616,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE","Lepilemur","Lepilemur dorsalis","VU"
"4066",11617,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE","Lepilemur","Lepilemur edwardsi","EN"
"4067",11618,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE","Lepilemur","Lepilemur leucopus","EN"
"4068",11619,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE","Lepilemur","Lepilemur microdon","EN"
"4069",11620,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE","Lepilemur","Lepilemur mustelinus","NT"
"4070",11621,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE","Lepilemur","Lepilemur ruficaudatus","VU"
"4071",11622,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LEPILEMURIDAE","Lepilemur","Lepilemur septentrionalis","CR"
"4254",12309,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Lophocebus","Lophocebus albigena","VU"
"4255",12310,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Lophocebus","Lophocebus aterrimus","VU"
"4256",12311,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Lophocebus","Lophocebus aterrimus ssp. opdenboschi","VU"
"4266",12375,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LORISIDAE","Loris","Loris tardigradus","EN"
