taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,category
12972,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STROPHOCHEILIDAE,Megalobulimus,Megalobulimus fragilion,EN
12973,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STROPHOCHEILIDAE,Megalobulimus,Megalobulimus grandis,CR
12974,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STROPHOCHEILIDAE,Megalobulimus,Megalobulimus lopesi,EN
12975,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STROPHOCHEILIDAE,Megalobulimus,Megalobulimus parafragilior,EN
12976,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STROPHOCHEILIDAE,Megalobulimus,Megalobulimus proclivis,CR
12979,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Megalomyrmex,Megalomyrmex symmetochus,VU
12980,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Megalomys,Megalomys desmarestii,EX
12981,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Megalomys,Megalomys luciae,EX
13006,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Megaptera,Megaptera novaeangliae,LC
13008,ANIMALIA,ANNELIDA,CLITELLATA,MEGADRILACEAE,MEGASCOLECIDAE,Megascolides,Megascolides australis,EN
13013,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,CYPRINODONTIDAE,Megupsilon,Megupsilon aporus,EX
13014,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Meladema,Meladema imbricata,CR
13015,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Meladema,Meladema lanio,VU
13021,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,THIARIDAE,Melanatria,Melanatria fluminea,NT
13022,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,PACHYCHILIDAE,Madagasikara,Madagasikara madagascarensis,EN
13032,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Melanobatrachus,Melanobatrachus indicus,EN
13038,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Melanochelys,Melanochelys tricarinata,VU
13039,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Melanochelys,Melanochelys trijuga,NT
13045,ANIMALIA,CHORDATA,ACTINOPTERYGII,GADIFORMES,GADIDAE,Melanogrammus,Melanogrammus aeglefinus,VU
